"BSSID","Channel","SSID","Percent Packets","Percent Retry","Retry","Beacons","Data Pkts","Probe Reqs","Probe Resp","Auths","Deauths","Other","Protection"
"00:00:00:00:00:00",0,"<Broadcast>",0.1744960764821591,0,0,0,165,0,0,0,0,0,""
"00:00:00:c4:0a:cb",0,"<Broadcast>",0.0021151039573595043,0,0,0,2,0,0,0,0,0,""
"00:21:6b:fc:9c:98",0,"<Broadcast>",0.031726559360392564,0,0,0,30,0,0,0,0,0,""
"00:25:00:ff:94:73",0,"<Broadcast>",0.37437340045263223,0,0,0,22,0,0,0,0,332,""
"01:0b:85:00:00:00",0,"<Broadcast>",0.027496351445673556,0,0,0,26,0,0,0,0,0,""
"02:21:6b:fc:9c:98",0,"DIRECT-KHDHAKA-LAPTOPmsSC",2.272679202182787,3.2107957189390413,69,2023,0,0,126,0,0,0,""
"2c:1a:05:07:4b:cf",0,"<Broadcast>",0.0010575519786797521,0,0,0,1,0,0,0,0,0,""
"30:86:2d:d1:21:80",0,"<Broadcast>",0.0243236955096343,13.043478260869565,3,0,20,0,0,0,0,3,"Unknown"
"30:86:2d:d1:21:81",0,"<Broadcast>",0.15969034878064256,96.02649006622516,145,0,151,0,0,0,0,0,"Unknown"
"30:86:2d:d1:21:82",0,"<Broadcast>",0.0031726559360392564,0,0,0,0,0,0,0,0,3,""
"c4:0a:cb:25:af:1f",0,"<Broadcast>",0.0010575519786797521,0,0,0,1,0,0,0,0,0,""
"c4:0a:cb:25:b1:aa",0,"<Broadcast>",0.1945895640770744,96.19565217391305,177,0,184,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:b1:ab",0,"<Broadcast>",0.0010575519786797521,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:b1:af",0,"<Broadcast>",0.0021151039573595043,0,0,0,2,0,0,0,0,0,""
"c4:0a:cb:25:b5:5f",0,"<Broadcast>",0.0021151039573595043,0,0,0,2,0,0,0,0,0,""
"c4:0a:cb:25:ce:6f",0,"<Broadcast>",0.0021151039573595043,0,0,0,2,0,0,0,0,0,""
"c4:0a:cb:25:f6:af",0,"<Broadcast>",0.0010575519786797521,0,0,0,1,0,0,0,0,0,""
"c4:0a:cb:2d:a4:1f",0,"<Broadcast>",0.0021151039573595043,0,0,0,2,0,0,0,0,0,""
"c4:0a:cb:2d:af:0a",0,"MOBILE-S",29.371391103872757,5.923018759226587,1645,2793,23746,0,1093,25,10,106,"Unknown"
"c4:0a:cb:2d:af:0a",0,"MOBILE-S",0.10046743797457645,0,0,0,0,95,0,0,0,0,""
"c4:0a:cb:2d:af:0b",0,"LAPTOP-S",28.453435986378732,5.545437650994239,1492,2748,23075,0,1043,11,1,27,"Unknown"
"c4:0a:cb:2d:af:0c",0,"FACULTY-STAFF-N",3.8389136826075,22.424242424242426,814,2816,0,0,814,0,0,0,""
"c4:0a:cb:2d:af:0d",0,"eduroam",3.1768861439539755,26.96404793608522,810,2194,0,0,810,0,0,0,""
"c4:0a:cb:2d:af:0e",0,"SENSOR",3.814589987097866,22.179096201829775,800,2807,0,0,800,0,0,0,""
"c4:0a:cb:2d:af:0f",0,"GUEST-N",26.73914422893885,4.477139693086537,1132,2834,21380,0,1039,4,9,18,"Unknown"
"c4:0a:cb:2d:ca:8f",0,"<Broadcast>",0.0010575519786797521,0,0,0,1,0,0,0,0,0,""
"dc:fb:48:16:01:66",0,"<Broadcast>",0.007402863850758265,0,0,0,7,0,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",161,"<Broadcast>",0.7064447217580744,0,0,0,0,668,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",161,"GUEST-N",0.08460415829438017,0,0,0,0,80,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"@Dubai Mall by EMAAR",0.010575519786797521,0,0,0,0,10,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"Abudhabi Airport Lounge",0.00951796780811777,0,0,0,0,9,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"Airport-WiFi",0.03278411133907232,0,0,0,0,31,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"STUDENTS-M",0.016920831658876034,0,0,0,0,16,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"iPhone",0.01480572770151653,0,0,0,0,14,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"Redmi",0.023266143530954547,0,0,0,0,22,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"@WiFi UAE from du",0.011633071765477274,0,0,0,0,11,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"SHREYANSH 3613",0.0243236955096343,0,0,0,0,23,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"Suryansh's Galaxy A54 5G",0.011633071765477274,0,0,0,0,11,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",161,"MOBILE-S",0.23477653926690498,0,0,0,0,222,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"HaHaHa 4G",0.006345311872078513,0,0,0,0,6,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"OnePlus Nord2 5G",0.008460415829438017,0,0,0,0,8,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"Prince's iPhone",0.004230207914719009,0,0,0,0,4,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"ProudyWhite",0.008460415829438017,0,0,0,0,8,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"Lakshay���s ",0.0010575519786797521,0,0,0,0,1,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"Manipal-Guest",0.004230207914719009,0,0,0,0,4,0,0,0,0,""
"ff:ff:ff:ff:ff:ff",0,"POCO",0.005287759893398761,0,0,0,0,5,0,0,0,0,""
